,nombreestablecimiento,direccion,direccion-completa,direccion-corregida,coordenada
1733,JARD INF RINCON ALEGRE                                                                              ,KR 63 76 53,"KR 63 76 53,Bogota,Colombia","CARRERA 63 76 53,Bogota,Colombia","(4.677652, -74.0792768)"
1734,COL EL PRADO                                                                                        ,CLL. 132 NO.40-40,"CLL. 132 NO.40-40,Bogota,Colombia","CLL. 132 NO.40-40,Bogota,Colombia","(4.740970799999999, -74.11441909999999)"
1735,COL KAPEIROT                                                                                        ,CL 8 SUR 38 B 05,"CL 8 SUR 38 B 05,Bogota,Colombia","CALLE 8 SUR 38 B 05,Bogota,Colombia","(4.604708599999999, -74.1141264)"
1736,LICEO HELEN MOR,CL 82 95 D 15 IN 109,"CL 82 95 D 15 IN 109,Bogota,Colombia","CALLE 82 95 D 15 IN 109,Bogota,Colombia","(4.7106039, -74.10755910000002)"
1737,INST NUEVA AMERICA DE SUBA                                                                          ,CL 140 A 96 10,"CL 140 A 96 10,Bogota,Colombia","CALLE 140 A 96 10,Bogota,Colombia","(4.7398401, -74.0895391)"
1738,COL ANGLO COLOMBIANO                                                                                ,AK 19 152 A 48,"AK 19 152 A 48,Bogota,Colombia","AK 19 152 A 48,Bogota,Colombia","(4.734903399999999, -74.04217129999999)"
1739,COLEGIO SAN DAMIAN                                                                               ,CL 78 62 41,"CL 78 62 41,Bogota,Colombia","CALLE 78 62 41,Bogota,Colombia","(4.677746, -74.0786391)"
1740,COLEGIO ALBERTO LLERAS CAMARGO (IED),KR 111 A 139 88,"KR 111 A 139 88,Bogota,Colombia","CARRERA 111 A 139 88,Bogota,Colombia","(4.7440541, -74.1020333)"
1741,COLEGIO INSTITUTO SANTIAGO DE COMPOSTELA,KR 118 133 11,"KR 118 133 11,Bogota,Colombia","CARRERA 118 133 11,Bogota,Colombia","(4.7400834, -74.1058913)"
1742,GIMN DEL CORAZON DE MARIA                                                                           ,KR 57 A 73 24,"KR 57 A 73 24,Bogota,Colombia","CARRERA 57 A 73 24,Bogota,Colombia","(4.6645742, -74.0834886)"
1743,COL PEDAG DANIEL  FELIPE                                                                            ,CR 48 NO. 177 -12,"CR 48 NO. 177 -12,Bogota,Colombia","CARRERA 48 NO. 177 -12,Bogota,Colombia","(4.718576, -74.0552359)"
1744,COLEGIO SAN FRANCISCO DE ASIS (IED),DG 1 19 79,"DG 1 19 79,Bogota,Colombia","DIAGONAL 1 19 79,Bogota,Colombia","(4.5809318, -74.0777969)"
1745,COL NSTRA SRA DEL AMPARO                                                                            ,KR 84 A 69 09,"KR 84 A 69 09,Bogota,Colombia","CARRERA 84 A 69 09,Bogota,Colombia","(4.6913916, -74.1075362)"
1746,COLEGIO RODOLFO LLINAS IED,DG 86 A 103 C 80,"DG 86 A 103 C 80,Bogota,Colombia","DIAGONAL 86 A 103 C 80,Bogota,Colombia","(4.7198451, -74.10911519999999)"
1747,JARD INF TALLER CREATIVO EL SEÑOR DON GATO                                                          ,CR. 66A NO.54-43,"CR. 66A NO.54-43,Bogota,Colombia","CR. 66A NO.54-43,Bogota,Colombia","(4.652572, -74.1000392)"
1748,PREESCOLAR INTEGRAL PERSONALIZADO                                                                   ,TV. 38 NO. NO. 105-59,"TV. 38 NO. NO. 105-59,Bogota,Colombia","TV. 38 NO. NO. 105-59,Bogota,Colombia","(4.5966597, -74.119471)"
1749,PSICOPEDAG SAN SEBASTIAN                                                                            ,CL 47 SUR 26 55,"CL 47 SUR 26 55,Bogota,Colombia","CALLE 47 SUR 26 55,Bogota,Colombia","(4.581990999999999, -74.1295243)"
1750,JARD INF YUPER                                                                                      ,CR. 46 NO.38-70 SUR,"CR. 46 NO.38-70 SUR,Bogota,Colombia","CR. 46 NO.38-70 SUR,Bogota,Colombia","(4.745744, -74.0489106)"
1751,COL NUEVA GENERACION                                                                                ,CL 24 94 31,"CL 24 94 31,Bogota,Colombia","CALLE 24 94 31,Bogota,Colombia","(4.6747412, -74.1279484)"
1752,INST SAN IGNACIO,AC 72 81 A 06,"AC 72 81 A 06,Bogota,Colombia","AC 72 81 A 06,Bogota,Colombia","(4.710988599999999, -74.072092)"
1753,COLEGIO PALERMO SUR (CED),CR. 2B NO.49D-41 SUR,"CR. 2B NO.49D-41 SUR,Bogota,Colombia","CR. 2B NO.49D-41 SUR,Bogota,Colombia","(4.6264074, -74.1618473)"
1754,COL SIGLO XXI                                                                                       ,AC 19 6 21 PI 2,"AC 19 6 21 PI 2,Bogota,Colombia","AC 19 6 21 PI 2,Bogota,Colombia","(4.6069553, -74.0739086)"
1755,COLEGIO GERMAN ARCINIEGAS (IED),KR 88 I 54 B 44 SUR,"KR 88 I 54 B 44 SUR,Bogota,Colombia","CARRERA 88 I 54 B 44 SUR,Bogota,Colombia","(4.6308587, -74.1845084)"
1756,COLEGIO MIGUEL ANTONIO CARO (IED),TV 94 81 A 29,"TV 94 81 A 29,Bogota,Colombia","TV 94 81 A 29,Bogota,Colombia","(4.7083278, -74.1049934)"
1757,COLEGIO INSTITUTO TECNICO DISTRITAL JULIO FLOREZ (IED),KR 48 F 94 12,"KR 48 F 94 12,Bogota,Colombia","CARRERA 48 F 94 12,Bogota,Colombia","(4.5770721, -74.1569861)"
1758,JARD INF EL PORTAL DEL SOSIEGO                                                                      ,KR 11 24 03 SUR,"KR 11 24 03 SUR,Bogota,Colombia","CARRERA 11 24 03 SUR,Bogota,Colombia","(4.593057300000001, -74.08356239999999)"
1759,COL REINA DE GALES                                                                                  ,KR 141 A BIS 143 A 29,"KR 141 A BIS 143 A 29,Bogota,Colombia","CARRERA 141 A BIS 143 A 29,Bogota,Colombia","(4.7511847, -74.1138497)"
1760,LIC EL CASTILLO DEL SABER                                                                           ,TV 96 A 74 C 29,"TV 96 A 74 C 29,Bogota,Colombia","TV 96 A 74 C 29,Bogota,Colombia","(4.70763, -74.1123078)"
1761,COL PSICOPEDAG MARIA PAZ                                                                            ,CL 1 29 64,"CL 1 29 64,Bogota,Colombia","CALLE 1 29 64,Bogota,Colombia","(4.5973101, -74.1045343)"
1762,JARD INF CARRUSEL  DE COLORES                                                                       ,KR 19 52 41 SUR,"KR 19 52 41 SUR,Bogota,Colombia","CARRERA 19 52 41 SUR,Bogota,Colombia","(4.640529700000001, -74.0710436)"
1763,JARD INF TIMOTEO                                                                                    ,KR 7 B 145 81,"KR 7 B 145 81,Bogota,Colombia","CARRERA 7 B 145 81,Bogota,Colombia","(4.7217792, -74.0282565)"
1764,COL EL CARMEN TERESIANO                                                                             ,CR. 11A NO.31-91 SUR,"CR. 11A NO.31-91 SUR,Bogota,Colombia","CR. 11A NO.31-91 SUR,Bogota,Colombia","(4.570352199999999, -74.1036902)"
1765,GIMN DE TOLEDO                                                                                      ,CL 92 BIS SUR 5 64 ESTE,"CL 92 BIS SUR 5 64 ESTE,Bogota,Colombia","CALLE 92 BIS SUR 5 64 ESTE,Bogota,Colombia","(4.4990571, -74.106217)"
1766,JARDIN INFANTIL EL BATALLON DE LOS PILITOS                                                          ,TR. 44A NO. 98-25,"TR. 44A NO. 98-25,Bogota,Colombia","TR. 44A NO. 98-25,Bogota,Colombia","(4.5695409, -74.1692082)"
1767,CENT EDUC LOS ANDES                                                                                 ,CL 127 A 104 B 96,"CL 127 A 104 B 96,Bogota,Colombia","CALLE 127 A 104 B 96,Bogota,Colombia","(4.717309699999999, -74.0888259)"
1768,COL CRISTIANO SHEKINAH                                                                              ,CL 67 A SUR 47 16,"CL 67 A SUR 47 16,Bogota,Colombia","CALLE 67 A SUR 47 16,Bogota,Colombia","(4.5538491, -74.1464984)"
1769,COL SEMINARIO ESPIRITU SANTO DE SUBA                                                                ,AV. SUBA NO.128B-51,"AV. SUBA NO.128B-51,Bogota,Colombia","AV. SUBA NO.128B-51,Bogota,Colombia","(4.718440699999999, -74.073769)"
1770,JARDÍN PSICOPEDAGÓGICO GOTICAS DE GENTE,DG 5 C 71 02,"DG 5 C 71 02,Bogota,Colombia","DIAGONAL 5 C 71 02,Bogota,Colombia","(4.628962100000001, -74.13296009999999)"
1771,INST. SIKUANI - CIUDAD JARDÍN NORTE,KR 59 B 129 A 91,"KR 59 B 129 A 91,Bogota,Colombia","CARRERA 59 B 129 A 91,Bogota,Colombia","(4.7208285, -74.071518)"
1772,GIMNASIO SERES Y SABERES,KR 50 57 B 06,"KR 50 57 B 06,Bogota,Colombia","CARRERA 50 57 B 06,Bogota,Colombia","(4.648943699999999, -74.0851635)"
1773,JARD INF MI PATO CUA CUA                                                                            ,KR 18 A 104 45,"KR 18 A 104 45,Bogota,Colombia","CARRERA 18 A 104 45,Bogota,Colombia","(4.690744599999999, -74.05061220000002)"
1774,COLEGIO TECNICO MENORAH (IED),KR 19 A 1 C 19,"KR 19 A 1 C 19,Bogota,Colombia","CARRERA 19 A 1 C 19,Bogota,Colombia","(4.5938893, -74.09286019999999)"
1775,INST ACAD BETHEL                                                                                    ,AV CARACAS 15 20 SUR,"AV CARACAS 15 20 SUR,Bogota,Colombia","AVENIDA CARACAS 15 20 SUR,Bogota,Colombia","(4.5838899, -74.0975576)"
1776,LIC  NSTRA SRA DE TORCOROMA                                                                         ,TV 68 G 35 A 15 SUR,"TV 68 G 35 A 15 SUR,Bogota,Colombia","TV 68 G 35 A 15 SUR,Bogota,Colombia","(4.6080778, -74.1351328)"
1777,CENT EDUC DIST LA LIBERTAD - SANTIAGO DE LAS ATALAYAS,CL 61 SUR 103 33,"CL 61 SUR 103 33,Bogota,Colombia","CALLE 61 SUR 103 33,Bogota,Colombia","(4.5914355, -74.1586432)"
1778,COLEGIO RUR LA UNION USME (CED),KM 22 VIA USME SAN JUAN DE SUMAPAZ,"KM 22 VIA USME SAN JUAN DE SUMAPAZ,Bogota,Colombia","KM 22 VIA USME SAN JUAN DE SUMAPAZ,Bogota,Colombia","(4.02945, -74.31407999999999)"
1779,JARD INF TORRECITAS DEL SABER                                                                       ,KR 2 16 A 38,"KR 2 16 A 38,Bogota,Colombia","CARRERA 2 16 A 38,Bogota,Colombia","(4.6001068, -74.067694)"
1780,GIMNASIO INTEGRAL MODERNO MODELIA,KR 80 C 25 D 25,"KR 80 C 25 D 25,Bogota,Colombia","CARRERA 80 C 25 D 25,Bogota,Colombia","(4.6703652, -74.11776069999999)"
1781,COLEGIO INSTITUTO TECNICO RODRIGO DE TRIANA (IED),CL 38 B SUR 89 81,"CL 38 B SUR 89 81,Bogota,Colombia","CALLE 38 B SUR 89 81,Bogota,Colombia","(4.641278, -74.16871119999999)"
1782,COLEGIO NUEVA ZELANDIA (IED),CL 178 48 A 21,"CL 178 48 A 21,Bogota,Colombia","CALLE 178 48 A 21,Bogota,Colombia","(4.7580798, -74.0483742)"
1783,JARD INF Y COL HORIZONTES ABIERTOS                                                                  ,CL 165 46 31,"CL 165 46 31,Bogota,Colombia","CALLE 165 46 31,Bogota,Colombia","(4.746156399999999, -74.04885949999999)"
1784,COL NSTRA SRA DE FATIMA POLINAL                                                                     ,DG 49 SUR 48 71,"DG 49 SUR 48 71,Bogota,Colombia","DIAGONAL 49 SUR 48 71,Bogota,Colombia","(4.5913853, -74.1372765)"
1785,COLEGIO INGLATERRA REAL DE CHAPINERO,KR 14 A 57 29,"KR 14 A 57 29,Bogota,Colombia","CARRERA 14 A 57 29,Bogota,Colombia","(4.6446, -74.06661919999999)"
1786,JARD INF MI TALLERCITO MYRIAM T                                                                     ,CLL. 75 NO.72-63,"CLL. 75 NO.72-63,Bogota,Colombia","CLL. 75 NO.72-63,Bogota,Colombia","(4.6913196, -74.0935184)"
1787,INST GUIMARC                                                                                        ,CL 71 C SUR 81 77,"CL 71 C SUR 81 77,Bogota,Colombia","CALLE 71 C SUR 81 77,Bogota,Colombia","(4.6099649, -74.1946738)"
1788,LIC SALOMON SABIO                                                                                   ,CLL. 59B NO.119B-05/07,"CLL. 59B NO.119B-05/07,Bogota,Colombia","CLL. 59B NO.119B-05/07,Bogota,Colombia","(4.620124, -74.1873382)"
1789,INST EMMIN                                                                                          ,KR 48 A 68 A 22 SUR,"KR 48 A 68 A 22 SUR,Bogota,Colombia","CARRERA 48 A 68 A 22 SUR,Bogota,Colombia","(4.5761096, -74.1554464)"
1790,COLEGIO CORPORACIÓN IBEROAMERICANA,CL 20 5 67,"CL 20 5 67,Bogota,Colombia","CALLE 20 5 67,Bogota,Colombia","(4.6054851, -74.0705163)"
1791,LICEO DE COLOMBIA BILINGÜE,AC 219 50 30,"AC 219 50 30,Bogota,Colombia","AC 219 50 30,Bogota,Colombia","(4.795639, -74.0442872)"
1792,LIC INF EL MUNDO DEL NIÑO FELIZ                                                                     ,CLL. 32 NO.118-26,"CLL. 32 NO.118-26,Bogota,Colombia","CLL. 32 NO.118-26,Bogota,Colombia","(4.6167494, -74.0626896)"
1793,COLEGIO RUR OLARTE (CED),KM 3.5 VIA USME SAN JUAN DE SUMAPAZ,"KM 3.5 VIA USME SAN JUAN DE SUMAPAZ,Bogota,Colombia","KM 3.5 VIA USME SAN JUAN DE SUMAPAZ,Bogota,Colombia","(4.02945, -74.31407999999999)"
1794,COL LOS ANGELES DE HELVETIA                                                                         ,KR 42 22 04,"KR 42 22 04,Bogota,Colombia","CARRERA 42 22 04,Bogota,Colombia","(4.6298391, -74.0952491)"
1795,LIC EL RINCONCITO DEL SABER                                                                         ,CR. 61A NO.67-22,"CR. 61A NO.67-22,Bogota,Colombia","CR. 61A NO.67-22,Bogota,Colombia","(4.6731402, -74.0810956)"
1796,COL DE ADMON ROBERT OWEN                                                                            ,CR. 3C NO.48R-72 SUR,"CR. 3C NO.48R-72 SUR,Bogota,Colombia","CR. 3C NO.48R-72 SUR,Bogota,Colombia","(4.5483299, -74.1082244)"
1797,LIC PEDAG ENRIQUE PESTALOZZI                                                                        ,CL 96 SUR 4 B 24 ESTE,"CL 96 SUR 4 B 24 ESTE,Bogota,Colombia","CALLE 96 SUR 4 B 24 ESTE,Bogota,Colombia","(4.5018603, -74.1176646)"
1798,COL HERMANOS BELTRAN                                                                                ,DG 45 C SUR 13 D 09,"DG 45 C SUR 13 D 09,Bogota,Colombia","DIAGONAL 45 C SUR 13 D 09,Bogota,Colombia","(4.5700129, -74.1209867)"
1799,LIC INF MIS HERMANITOS,CLL. 161 A NO. 16 A - 68 ,"CLL. 161 A NO. 16 A - 68 ,Bogota,Colombia","CLL. 161 A NO. 16 A - 68 ,Bogota,Colombia","(4.7406293, -74.0392117)"
1800,LIC PEQUEÑA COMPAÑÍA DE MARRUECOS                                                                   ,CLL. 49G NO. 5 M 11 SUR,"CLL. 49G NO. 5 M 11 SUR,Bogota,Colombia","CLL. 49G NO. 5 M 11 SUR,Bogota,Colombia","(4.5525759, -74.1174818)"
1801,COLEGIO JACKELINE (IED),IND TR. 75A NO.48-12 SUR,"IND TR. 75A NO.48-12 SUR,Bogota,Colombia","IND TR. 75A NO.48-12 SUR,Bogota,Colombia","(4.578117, -74.0871916)"
1802,JARD INF PICARDIAS Y BURBUJAS                                                                       ,KR 51 2 A 64,"KR 51 2 A 64,Bogota,Colombia","CARRERA 51 2 A 64,Bogota,Colombia","(4.6126296, -74.11643389999999)"
1803,COLEGIO JUAN FRANCISCO BERBEO (IED),KR 28 B 78 40,"KR 28 B 78 40,Bogota,Colombia","CARRERA 28 B 78 40,Bogota,Colombia","(4.6707136, -74.06722119999999)"
1804,INST EDUCATIVA INTERAMERICANA                                                                       ,CL 47 SUR 13 A 21,"CL 47 SUR 13 A 21,Bogota,Colombia","CALLE 47 SUR 13 A 21,Bogota,Colombia","(4.547356499999999, -74.1003654)"
1805,COL LA COLINA                                                                                       ,KR 68 145 80,"KR 68 145 80,Bogota,Colombia","CARRERA 68 145 80,Bogota,Colombia","(4.622682, -74.1256591)"
1806,GIMN MODERNO JOHN ENDERS                                                                            ,CL 128 C 119 C 07,"CL 128 C 119 C 07,Bogota,Colombia","CALLE 128 C 119 C 07,Bogota,Colombia","(4.7304922, -74.1047901)"
1807,LIC INF ERIKA                                                                                       ,CLL. 48P SUR NO.5G-04,"CLL. 48P SUR NO.5G-04,Bogota,Colombia","CLL. 48P SUR NO.5G-04,Bogota,Colombia","(4.554686, -74.1114387)"
1808,LIC NUEVA COLOMBIA                                                                                  ,KR 6 F ESTE 90 66 SUR,"KR 6 F ESTE 90 66 SUR,Bogota,Colombia","CARRERA 6 F ESTE 90 66 SUR,Bogota,Colombia","(4.4994171, -74.10144509999999)"
1809,INST SAN PABLO APOSTOL                                                                              ,KR 46 B 73 B 65 SUR,"KR 46 B 73 B 65 SUR,Bogota,Colombia","CARRERA 46 B 73 B 65 SUR,Bogota,Colombia","(4.571801199999999, -74.1644776)"
1810,COL HISPANOAMERICANO CONDE ANSUREZ                                                                  ,KR 67 173 A 80,"KR 67 173 A 80,Bogota,Colombia","CARRERA 67 173 A 80,Bogota,Colombia","(4.7604044, -74.05883639999999)"
1811,JARDIN INFANTIL EL GATO CON BOTAS,KR 55 174 69,"KR 55 174 69,Bogota,Colombia","CARRERA 55 174 69,Bogota,Colombia","(4.7570398, -74.0544075)"
1812,INSTITUTO PSICOPEDAGOGICO ANA MARIA DE LOS ANGELES,CL 38 SUR 29 16,"CL 38 SUR 29 16,Bogota,Colombia","CALLE 38 SUR 29 16,Bogota,Colombia","(4.586525099999999, -74.1208091)"
1813,COL DOMINGO SAVIO                                                                                   ,CL 24 SUR 24 A 16,"CL 24 SUR 24 A 16,Bogota,Colombia","CALLE 24 SUR 24 A 16,Bogota,Colombia","(4.5859571, -74.1078943)"
1814,GIMN EDUC CUNDINAMARCA                                                                              ,KR 99 A 134 13,"KR 99 A 134 13,Bogota,Colombia","CARRERA 99 A 134 13,Bogota,Colombia","(4.7364134, -74.0937624)"
1815,JARD INF BAMBI DE MODELIA                                                                           ,KR 79 42 67,"KR 79 42 67,Bogota,Colombia","CARRERA 79 42 67,Bogota,Colombia","(4.6157029, -74.16818549999999)"
1816,GIMN PSICOPEDAG VILLA MADRIGAL (ANTES JARD INF MARAVILLOSO),DG 76 A 96 A 52,"DG 76 A 96 A 52,Bogota,Colombia","DIAGONAL 76 A 96 A 52,Bogota,Colombia","(4.707837, -74.1126999)"
1817,PREESC MI PEQUEÑO JARDIN,CLL.128C BIS NO.41-18,"CLL.128C BIS NO.41-18,Bogota,Colombia","CLL.128C BIS NO.41-18,Bogota,Colombia","(4.7312938, -74.1074938)"
1818,COL VAN LEEUWENHOEK                                                                                 ,DG 135 C 146 B 03,"DG 135 C 146 B 03,Bogota,Colombia","DIAGONAL 135 C 146 B 03,Bogota,Colombia","(4.7377268, -74.0750946)"
1819,GUARD JARD PIOLIN                                                                                   ,CLL. 45 NO.7-21,"CLL. 45 NO.7-21,Bogota,Colombia","CLL. 45 NO.7-21,Bogota,Colombia","(4.6315047, -74.0644468)"
1820,INST TEC CIAL MARMATOS SEDE II                                                                      ,KR 73 I 68 A 59 SUR,"KR 73 I 68 A 59 SUR,Bogota,Colombia","CARRERA 73 I 68 A 59 SUR,Bogota,Colombia","(4.5834738, -74.1678816)"
1821,JARD INF PERSONITAS DE HOY Y DEL FUTURO                                                             ,TV 42 107 02,"TV 42 107 02,Bogota,Colombia","TV 42 107 02,Bogota,Colombia","(4.6183153, -74.106743)"
1822,COL EL MINUTO DE DIOS SIGLO XXI                                                                     ,TV 74 81 C 05,"TV 74 81 C 05,Bogota,Colombia","TV 74 81 C 05,Bogota,Colombia","(4.6449294, -74.1363519)"
1823,COL AMERICANO DE BOGOTA                                                                             ,KR 22 45 51,"KR 22 45 51,Bogota,Colombia","CARRERA 22 45 51,Bogota,Colombia","(4.6341018, -74.0738674)"
1824,COLEGIO CIUDAD DE BOGOTA (IED),KR 25 53 B 32 SUR,"KR 25 53 B 32 SUR,Bogota,Colombia","CARRERA 25 53 B 32 SUR,Bogota,Colombia","(4.710988599999999, -74.072092)"
1825,INSTITUTO CENTRAL DE ESTUDIOS S.A.S,CL 167 62 34,"CL 167 62 34,Bogota,Colombia","CALLE 167 62 34,Bogota,Colombia","(4.7502663, -74.0618425)"
1826,COL NUEVA CANDELARIA                                                                                ,CL 59 B SUR 45 08,"CL 59 B SUR 45 08,Bogota,Colombia","CALLE 59 B SUR 45 08,Bogota,Colombia","(4.5750493, -74.152727)"
1827,JARD INF PSICOPEDAG MIS TORTUGUITAS NINJA                                                           ,CLL. 77A NO.68C-15,"CLL. 77A NO.68C-15,Bogota,Colombia","CLL. 77A NO.68C-15,Bogota,Colombia","(4.6837982, -74.0824038)"
1828,COL ELOY VALENZUELA                                                                                 ,KR 104 77 C 30,"KR 104 77 C 30,Bogota,Colombia","CARRERA 104 77 C 30,Bogota,Colombia","(4.7113265, -74.11613179999999)"
1829,COLEGIO DE LA UNIVERSIDAD LIBRE                                 ,KR 70 53 40,"KR 70 53 40,Bogota,Colombia","CARRERA 70 53 40,Bogota,Colombia","(4.6687587, -74.1020308)"
1830,GIMNASIO INFANTIL SERGIO BENAVIDES,CL 40 I 74 D 56,"CL 40 I 74 D 56,Bogota,Colombia","CALLE 40 I 74 D 56,Bogota,Colombia","(4.615612, -74.155007)"
1831,GIMN CAMPESTRE                                                                                      ,CL 165 8 A 50,"CL 165 8 A 50,Bogota,Colombia","CALLE 165 8 A 50,Bogota,Colombia","(4.742257299999999, -74.0259269)"
1832,INSTITUCION EDUCATIVA DISTRITAL COLOMBIA VIVA,CL 50 D SUR 3 08 ESTE,"CL 50 D SUR 3 08 ESTE,Bogota,Colombia","CALLE 50 D SUR 3 08 ESTE,Bogota,Colombia","(4.5622655, -74.1244879)"
1833,BTO DE ADULTOS UNAD                                                                                 ,CL 14 SUR 14 23,"CL 14 SUR 14 23,Bogota,Colombia","CALLE 14 SUR 14 23,Bogota,Colombia","(4.5852438, -74.09737179999999)"
1834,COL NUEVO MONTESSORIANO                                                                             ,CLL. 35 NO.78B-05,"CLL. 35 NO.78B-05,Bogota,Colombia","CLL. 35 NO.78B-05,Bogota,Colombia","(4.6242469, -74.1489502)"
1835,COL FERVAN                                                                                          ,CL 73 A 101 32,"CL 73 A 101 32,Bogota,Colombia","CALLE 73 A 101 32,Bogota,Colombia","(4.706108, -74.1161846)"
1836,LIC PARROQ SARA ZAPATA                                                                              ,KR 21 51 47,"KR 21 51 47,Bogota,Colombia","CARRERA 21 51 47,Bogota,Colombia","(4.639876399999999, -74.0723951)"
1837,COL INF ESPIGUITAS DORADAS                                                                          ,KR 7 B 188 08,"KR 7 B 188 08,Bogota,Colombia","CARRERA 7 B 188 08,Bogota,Colombia","(4.7648312, -74.02869319999999)"
1838,COLEGIO VENECIA (IED),KR 55 49 25 SUR,"KR 55 49 25 SUR,Bogota,Colombia","CARRERA 55 49 25 SUR,Bogota,Colombia","(4.7438509, -74.0570145)"
1839,JARD INF AMANECER DE VERANO                                                                         ,CL 73 B 101 05,"CL 73 B 101 05,Bogota,Colombia","CALLE 73 B 101 05,Bogota,Colombia","(4.5178705, -74.1176466)"
1840,GIMN CULT LIBERTAD                                                                                  ,KR 7 A 153 31,"KR 7 A 153 31,Bogota,Colombia","CARRERA 7 A 153 31,Bogota,Colombia","(4.7288834, -74.0255513)"
1841,COLEGIO INTEGRACION MODERNA                                                                      ,CL 4 71 A 41,"CL 4 71 A 41,Bogota,Colombia","CALLE 4 71 A 41,Bogota,Colombia","(4.6198484, -74.1384703)"
1842,JARD INF MICHIN                                                                                     ,CLL. 22G NO.42A-33,"CLL. 22G NO.42A-33,Bogota,Colombia","CLL. 22G NO.42A-33,Bogota,Colombia","(4.6877439, -74.1497045)"
1843,PREESC EUGENIA RAVASCO                                                                              ,CL 12 SUR 7 A 79,"CL 12 SUR 7 A 79,Bogota,Colombia","CALLE 12 SUR 7 A 79,Bogota,Colombia","(4.5799923, -74.0888514)"
1844,JARD INF BELLAVISTA,CL 38 SUR 107 C 29,"CL 38 SUR 107 C 29,Bogota,Colombia","CALLE 38 SUR 107 C 29,Bogota,Colombia","(4.6228755, -74.1528095)"
1845,DIDASCALIO  NSTRA SRA DE LA ESPERANZA                                                               ,KR 75 C 75 C 34 SUR,"KR 75 C 75 C 34 SUR,Bogota,Colombia","CARRERA 75 C 75 C 34 SUR,Bogota,Colombia","(4.6368427, -74.161157)"
1846,COLEGIO JUAN LOZANO Y LOZANO (IED),CL 140 100 30,"CL 140 100 30,Bogota,Colombia","CALLE 140 100 30,Bogota,Colombia","(4.7409574, -74.0928382)"
1847,COL ALEXANDER HUMBOLDT                                                                              ,KR 57 A 71 28,"KR 57 A 71 28,Bogota,Colombia","CARRERA 57 A 71 28,Bogota,Colombia","(4.6710169, -74.0784164)"
1848,LIC INF MIS PEQUEÑOS SALTARINES                                                                     ,CL 31 B SUR 2 35 ESTE,"CL 31 B SUR 2 35 ESTE,Bogota,Colombia","CALLE 31 B SUR 2 35 ESTE,Bogota,Colombia","(4.5603939, -74.0921232)"
1849,COL EDGAR SALAMANCA AFRICANO EDSALAM AFRIC                                                          ,KR 104 A 139 21,"KR 104 A 139 21,Bogota,Colombia","CARRERA 104 A 139 21,Bogota,Colombia","(4.6786143, -74.144247)"
1850,LIC INF CRECER JUNTOS                                                                               ,CL 136 A 102 A 42,"CL 136 A 102 A 42,Bogota,Colombia","CALLE 136 A 102 A 42,Bogota,Colombia","(4.7390644, -74.0962752)"
1851,GIMN MARTIN GALEANO                                                                                 ,KR 87 73 D 21 SUR,"KR 87 73 D 21 SUR,Bogota,Colombia","CARRERA 87 73 D 21 SUR,Bogota,Colombia","(4.6210078, -74.1901288)"
1852,COLEGIO BOSANOVA (IED),CL 59 B SUR 87 B 02,"CL 59 B SUR 87 B 02,Bogota,Colombia","CALLE 59 B SUR 87 B 02,Bogota,Colombia","(4.620124, -74.1873382)"
1853,COLEGIO BOSTON (ANTIGUO COL EDUC SAN MATEO),CL 34 15 37,"CL 34 15 37,Bogota,Colombia","CALLE 34 15 37,Bogota,Colombia","(4.623039299999999, -74.07089309999999)"
1854,MIMOSITOS LICEO INFANTIL,KR 72 7 C 59,"KR 72 7 C 59,Bogota,Colombia","CARRERA 72 7 C 59,Bogota,Colombia","(4.6360321, -74.137407)"
1855,GIMN OXFORD                                                                                         ,CL 152 20 75,"CL 152 20 75,Bogota,Colombia","CALLE 152 20 75,Bogota,Colombia","(4.7340737, -74.046936)"
1856,COLEGIO TOBERIN (IED),CL 166 16 C 15,"CL 166 16 C 15,Bogota,Colombia","CALLE 166 16 C 15,Bogota,Colombia","(4.7449799, -74.03767669999999)"
1857,ACAD CENTRAL DE SISTEMAS ACSI,AV CARACAS 68 11,"AV CARACAS 68 11,Bogota,Colombia","AVENIDA CARACAS 68 11,Bogota,Colombia","(4.6549892, -74.0632248)"
1858,LIC EL MUNDO DEL MAÑANA                                                                             ,CL 2 68 A 17,"CL 2 68 A 17,Bogota,Colombia","CALLE 2 68 A 17,Bogota,Colombia","(4.620347199999999, -74.1274713)"
1859,COLEGIO CIUDAD DE VILLAVICENCIO (ANTES INTEGD PUERTA AL LLANO)  (IED),KR 6 H ESTE 114 88 SUR,"KR 6 H ESTE 114 88 SUR,Bogota,Colombia","CARRERA 6 H ESTE 114 88 SUR,Bogota,Colombia","(4.4879094, -74.1036803)"
1860,COLEGIO NUEVO SAN ANDRES DE LOS ALTOS (IED),CL 69 SUR 2 B 15,"CL 69 SUR 2 B 15,Bogota,Colombia","CALLE 69 SUR 2 B 15,Bogota,Colombia","(4.5252256, -74.1202759)"
1861,LICEO MODERNO SAN MARCOS,KR 88 B 2 06,"KR 88 B 2 06,Bogota,Colombia","CARRERA 88 B 2 06,Bogota,Colombia","(4.6425977, -74.16105739999999)"
1862,INSTITUCION EDUCATIVA FEDERICO GARCIA LORCA,TV 126 132 96,"TV 126 132 96,Bogota,Colombia","TV 126 132 96,Bogota,Colombia","(4.7405611, -74.1110691)"
